ticket_id,customer_id,agent_id,status,priority,category,created_at,first_response_at,resolved_at
T001,5001,104,Closed,High,System Outage,2024-08-01 09:00:00,2024-08-01 09:15:00,2024-08-01 11:30:00
T002,5002,101,Closed,Medium,Billing Error,2024-08-01 10:30:00,2024-08-01 14:00:00,2024-08-02 09:00:00
T003,5003,103,Open,Low,Password Reset,2024-08-01 11:00:00,2024-08-01 11:20:00,
T004,5004,102,Closed,High,Integration Bug,2024-08-02 15:00:00,2024-08-02 15:20:00,2024-08-03 17:00:00
T005,5001,104,Closed,Medium,Feature Request,2024-08-03 11:00:00,2024-08-04 10:00:00,2024-08-06 14:00:00
T006,5005,102,Closed,Urgent,Technical,2024-08-04 08:00:00,2024-08-04 08:10:00,2024-08-04 10:00:00
T007,5002,101,Closed,Low,Billing Error,2024-08-04 09:00:00,2024-08-04 12:00:00,2024-08-05 15:00:00
T008,5003,103,Closed,Medium,General,2024-08-05 10:00:00,2024-08-05 11:00:00,2024-08-05 14:00:00
T009,5004,105,Open,High,System Outage,2024-08-06 14:00:00,2024-08-06 14:15:00,
T010,5001,104,Closed,Urgent,Security,2024-08-07 09:00:00,2024-08-07 09:05:00,2024-08-07 10:30:00
